author_id,name,email
145642373.0,Han Xiao,han.xiao@university.edu
4565995.0,Kashif Rasul,kashif.rasul@university.edu
2742129.0,Roland Vollgraf,roland.vollgraf@university.edu
2057642721.0,Martín Abadi,martín.abadi@university.edu
144758007.0,P. Barham,p..barham@university.edu
2108406634.0,Jianmin Chen,jianmin.chen@university.edu
2545358.0,Z. Chen,z..chen@university.edu
36347083.0,Andy Davis,andy.davis@university.edu
49959210.0,J. Dean,j..dean@university.edu
145139947.0,M. Devin,m..devin@university.edu
1780892.0,Sanjay Ghemawat,sanjay.ghemawat@university.edu
2060655766.0,G. Irving,g..irving@university.edu
2090818.0,M. Isard,m..isard@university.edu
1942300.0,M. Kudlur,m..kudlur@university.edu
3369421.0,J. Levenberg,j..levenberg@university.edu
3089272.0,R. Monga,r..monga@university.edu
144375552.0,Sherry Moore,sherry.moore@university.edu
20154699.0,D. Murray,d..murray@university.edu
32163737.0,Benoit Steiner,benoit.steiner@university.edu
2080690.0,P. Tucker,p..tucker@university.edu
2053781980.0,Vijay Vasudevan,vijay.vasudevan@university.edu
47941411.0,Pete Warden,pete.warden@university.edu
35078078.0,M. Wicke,m..wicke@university.edu
2117163698.0,Yuan Yu,yuan.yu@university.edu
2108113547.0,Xiaoqiang Zhang,xiaoqiang.zhang@university.edu
2078528337.0,Ashish Agarwal,ashish.agarwal@university.edu
2445241.0,E. Brevdo,e..brevdo@university.edu
48738717.0,C. Citro,c..citro@university.edu
32131713.0,G. Corrado,g..corrado@university.edu
153440022.0,I. Goodfellow,i..goodfellow@university.edu
2064102917.0,A. Harp,a..harp@university.edu
39978391.0,Yangqing Jia,yangqing.jia@university.edu
1944541.0,R. Józefowicz,r..józefowicz@university.edu
40527594.0,Lukasz Kaiser,lukasz.kaiser@university.edu
30415265.0,Dandelion Mané,dandelion.mané@university.edu
37232298.0,C. Olah,c..olah@university.edu
144927151.0,M. Schuster,m..schuster@university.edu
1789737.0,Jonathon Shlens,jonathon.shlens@university.edu
1701686.0,I. Sutskever,i..sutskever@university.edu
35210462.0,Kunal Talwar,kunal.talwar@university.edu
2657155.0,Vincent Vanhoucke,vincent.vanhoucke@university.edu
1765169.0,F. Viégas,f..viégas@university.edu
1689108.0,O. Vinyals,o..vinyals@university.edu
145233583.0,M. Wattenberg,m..wattenberg@university.edu
2152198093.0,Xiaoqiang Zheng,xiaoqiang.zheng@university.edu
48395540.0,C. Rudin,c..rudin@university.edu
51997673.0,Ninareh Mehrabi,ninareh.mehrabi@university.edu
2775559.0,Fred Morstatter,fred.morstatter@university.edu
51884035.0,N. Saxena,n..saxena@university.edu
1782658.0,Kristina Lerman,kristina.lerman@university.edu
143728483.0,A. Galstyan,a..galstyan@university.edu
1713687.0,M. Kubát,m..kubát@university.edu
3008587.0,Xingjian Shi,xingjian.shi@university.edu
2192200.0,Zhourong Chen,zhourong.chen@university.edu
49528584.0,Hao Wang,hao.wang@university.edu
1739816.0,D. Yeung,d..yeung@university.edu
145771919.0,W. Wong,w..wong@university.edu
2183294.0,W. Woo,w..woo@university.edu
1720124.0,G. Karniadakis,g..karniadakis@university.edu
3439407.0,I. Kevrekidis,i..kevrekidis@university.edu
2149373363.0,Lu Lu,lu.lu@university.edu
3410970.0,P. Perdikaris,p..perdikaris@university.edu
118188801.0,Sifan Wang,sifan.wang@university.edu
2145494483.0,Liu Yang,liu.yang@university.edu
2345603162.0,Laura Strauss,laura.strauss@university.edu
48594758.0,Weihua Hu,weihua.hu@university.edu
3410500.0,Matthias Fey,matthias.fey@university.edu
2095762.0,M. Zitnik,m..zitnik@university.edu
2047998.0,Yuxiao Dong,yuxiao.dong@university.edu
40046694.0,Hongyu Ren,hongyu.ren@university.edu
2156641189.0,Bowen Liu,bowen.liu@university.edu
1754926.0,Michele Catasta,michele.catasta@university.edu
1702139.0,J. Leskovec,j..leskovec@university.edu
2520493.0,R. Shokri,r..shokri@university.edu
34828439.0,M. Stronati,m..stronati@university.edu
3469125.0,Congzheng Song,congzheng.song@university.edu
1723945.0,Vitaly Shmatikov,vitaly.shmatikov@university.edu
36203548.0,N. Nathani,n..nathani@university.edu
2242477024.0,Abhishek Singh,abhishek.singh@university.edu
3456687.0,Iqbal H. Sarker,iqbal.h..sarker@university.edu
2570016.0,Fabian Pedregosa,fabian.pedregosa@university.edu
3025780.0,G. Varoquaux,g..varoquaux@university.edu
1797840.0,Alexandre Gramfort,alexandre.gramfort@university.edu
52200573.0,V. Michel,v..michel@university.edu
8493461.0,B. Thirion,b..thirion@university.edu
2958756.0,O. Grisel,o..grisel@university.edu
27257992.0,Mathieu Blondel,mathieu.blondel@university.edu
1881041.0,Gilles Louppe,gilles.louppe@university.edu
2780213.0,P. Prettenhofer,p..prettenhofer@university.edu
2067827437.0,Ron Weiss,ron.weiss@university.edu
39571582.0,Ron J. Weiss,ron.j..weiss@university.edu
2081469.0,J. Vanderplas,j..vanderplas@university.edu
144720379.0,Alexandre Passos,alexandre.passos@university.edu
3084321.0,D. Cournapeau,d..cournapeau@university.edu
2423884.0,M. Brucher,m..brucher@university.edu
35243423.0,M. Perrot,m..perrot@university.edu
1710398.0,E. Duchesnay,e..duchesnay@university.edu
1694621.0,Michael I. Jordan,michael.i..jordan@university.edu
2066277988.0,T. Mitchell,t..mitchell@university.edu
1388372395.0,F. Doshi-Velez,f..doshi-velez@university.edu
3351164.0,Been Kim,been.kim@university.edu
145341779.0,J. R. Quinlan,j..r..quinlan@university.edu
71619391.0,อนิรุธ สืบสิงห์,อนิรุธ.สืบสิงห์@university.edu
2056417995.0,Kevin P. Murphy,kevin.p..murphy@university.edu
50349508.0,Ayon Dey,ayon.dey@university.edu
1743797.0,Isabelle M Guyon,isabelle.m.guyon@university.edu
1766703.0,A. Elisseeff,a..elisseeff@university.edu
2340435.0,Hanchuan Peng,hanchuan.peng@university.edu
8973853.0,Fuhui Long,fuhui.long@university.edu
1737469.0,C. Ding,c..ding@university.edu
